Word,Frequency
the,1354
you,992
I,985
to,878
and,838
a,750
in,411
of,366
it,359
but,355
me,353
all,311
my,305
for,279
be,273
it's,270
I'm,267
that,258
on,247
your,245
don't,236
so,219
is,211
know,210
she,194
can,193
we,190
got,176
with,170
time,165
just,162
have,162
her,149
I've,147
when,142
out,128
been,127
you're,126
oh,125
they,125
if,125
no,123
get,122
now,119
she's,117
what,117
was,115
never,115
are,113
go,112
will,111
as,111
not,107
want,104
say,104
night,103
there,103
this,101
at,98
only,98
man,92
long,90
tell,87
had,86
why,85
make,83
can't,82
too,82
life,80
like,78
from,78
always,77
still,74
how,74
some,74
he,74
away,72
take,71
down,69
way,69
gonna,67
well,67
good,67
right,67
'cause,66
see,66
you've,65
need,65
that's,64
up,64
do,64
love,62
ain't,62
yeah,61
could,61
our,60
tonight,59
his,59
about,59
one,58
were,58
here,56
didn't,55
baby,54
I'll,53
who,50
there's,50
would,49
an,49
or,48
should,47
then,47
mind,47
hard,47
by,47
said,47
back,46
home,46
where,45
am,45
more,45
much,45
new,44
come,43
alone,42
wrong,40
eyes,40
give,39
gone,39
through,39
won't,39
look,39
last,38
old,38
before,38
find,37
we're,37
day,37
easy,37
try,36
keep,36
while,36
feel,36
every,35
world,35
maybe,35
until,34
though,34
leave,34
because,34
let,34
days,34
around,34
yes,34
woman,33
money,33
girl,33
fire,33
their,33
may,33
again,33
anymore,32
sure,32
goodbye,32
ever,32
you'll,32
things,32
young,31
something,31
these,31
start,30
us,30
heart,30
believe,30
alright,29
high,29
place,29
talk,29
comes,28
face,28
stay,28
own,28
many,28
thing,28
nothing,27
those,27
might,27
light,27
getting,27
after,27
someone,26
people,26
into,26
line,26
same,25
even,25
cause,25
I'd,24
far,24
understand,24
really,24
over,24
such,24
big,24
faith,24
another,24
matter,24
sometimes,24
little,24
made,23
moment,23
seen,23
street,23
turn,23
real,23
did,23
wait,23
living,23
hold,22
ah,22
heard,22
cold,22
pressure,22
song,22
care,22
change,22
going,22
them,22
hey,22
times,21
yourself,21
better,21
style,21
fight,21
they're,21
goes,21
else,21
soul,21
left,21
forever,20
any,20
hear,20
he's,20
put,20
word,20
lonely,19
lee,19
than,19
lost,19
friends,19
stand,19
lose,19
crazy,19
standing,19
auld,19
has,19
remember,19
play,19
tomorrow,19
christie,19
off,19
second,18
white,18
together,18
bad,18
man's,18
we'll,18
done,18
free,18
think,18
went,18
words,17
myself,17
lot,17
years,17
sing,17
call,17
seems,16
best,16
low,16
sleep,16
somebody,16
knows,16
fool,16
soon,16
syne,16
told,16
room,16
dream,16
found,16
other,16
late,16
rain,16
live,16
afraid,16
land,15
die,15
knew,15
must,15
rock,15
known,15
very,15
dance,15
kind,15
morning,15
touch,15
music,15
tried,15
who's,15
lang,15
isn't,15
closer,15
looking,15
since,15
uptown,15
along,15
ask,15
doesn't,14
longest,14
captain,14
boy,14
making,14
darling,14
deep,14
lie,14
run,14
river,14
everything,14
'em,14
running,14
used,14
takes,14
dreams,14
end,14
open,13
everybody,13
lord,13
island,13
took,13
burning,13
fall,13
tough,13
jack,13
show,13
pay,13
cry,13
crime,13
inside,13
shot,13
state,13
falling,13
two,13
enough,13
forget,12
hand,12
middle,12
ice,12
next,12
today,12
door,12
chance,12
keeping,12
gets,12
coming,12
we've,12
feeling,12
mine,12
hurt,12
child,12
close,12
sleeping,12
roll,12
stranger,12
gives,12
leyna,12
surprise,11
him,11
town,11
fantasy,11
gotta,11
cool,11
lights,11
mood,11
blues,11
hollywood,11
wouldn't,11
mistakes,11
hands,11
upon,11
hide,11
says,11
anyone,11
fine,11
although,11
help,11
honey,11
friend,11
without,11
wall,11
thought,11
break,11
afford,11
waiting,11
anything,11
first,11
la,11
came,11
what's,11
stop,10
alive,10
learned,10
haven't,10
pain,10
true,10
power,10
somewhere,10
once,10
later,10
tired,10
silence,10
she'll,10
turned,10
smile,10
please,10
changed,10
nights,10
great,10
ussr,10
save,10
whoo,10
comin',10
sweet,10
ya,9
ahead,9
clothes,9
ground,9
dark,9
york,9
gave,9
wants,9
listen,9
blue,9
meet,9
past,9
oo,9
strange,9
strong,9
behind,9
blonde,9
under,9
part,9
outside,9
wish,9
truth,9
hell,9
turning,9
share,9
fast,9
woah,9
waste,9
shouldn't,9
saw,9
nice,9
hot,9
makes,9
control,9
move,9
realize,9
extremes,9
war,9
sound,9
wind,9
write,9
amazed,9
lived,9
couldn't,8
spend,8
world's,8
shameless,8
worry,8
sea,8
wife,8
hours,8
broken,8
brenda,8
walk,8
push,8
movin',8
shades,8
doing,8
deal,8
learn,8
bottle,8
innocent,8
angry,8
slipping,8
front,8
honky,8
tonk,8
temptation,8
skies,8
does,8
