Word,Frequency
me,17
go,15
you,13
let,12
no,10
a,10
just,8
to,8
the,8
mama,7
never,6
will,6
oh,6
and,6
really,5
galileo,5
not,5
this,5
I,4
poor,4
my,4
nothing,4
I'm,4
all,4
matters,4
easy,4
ooh,4
him,3
any,3
can,3
for,3
gotta,3
little,3
time,3
mia,3
bismillah,3
way,3
boy,3
see,3
blows,3
we,3
wind,3
come,3
from,3
life,3
scaramouche,2
carry,2
I've,2
baby,2
do,2
think,2
on,2
has,2
man,2
his,2
very,2
if,2
he's,2
leave,2
is,2
die,2
yeah,2
get,2
now,2
in,2
put,2
so,2
escape,1
trigger,1
didn't,1
against,1
right,1
skies,1
eye,1
at,1
head,1
killed,1
thunderbolt,1
gone,1
landslide,1
too,1
late,1
aside,1
everybody,1
cry,1
magnificooooo,1
devil,1
can't,1
outta,1
body's,1
wanna,1
tomorrow,1
sends,1
because,1
loves,1
been,1
had,1
reality,1
beelzebub,1
aching,1
real,1
dead,1
it,1
nobody,1
fantasy,1
spit,1
figaro,1
sympathy,1
caught,1
up,1
but,1
born,1
love,1
low,1
silhouetto,1
doesn't,1
mean,1
here,1
down,1
face,1
open,1
shivers,1
look,1
ooooh,1
matter,1
anyone,1
lightning,1
goodbye,1
your,1
family,1
need,1
begun,1
of,1
monstrosity,1
back,1
don't,1
wish,1
stone,1
spine,1
thrown,1
frightening,1
got,1
fandango,1
sometimes,1
as,1
behind,1
I'd,1
pulled,1
away,1
spare,1
high,1
gun,1
truth,1
eyes,1
out,1
make,1
again,1
