Word,Frequency
diddit,42
time,17
to,11
yourself,9
it's,9
with,9
all,8
on,8
is,7
me,6
surround,6
the,6
didda,6
don't,6
so,5
and,5
your,5
for,4
way,4
in,4
captured,4
people,4
news,4
'cause,4
heads,4
satisfied,4
my,4
queen,4
seen,4
I've,4
day,4
their,4
each,4
use,4
good,4
I'm,4
turn,4
move,4
a,4
instant,3
its,3
an,3
we,3
karma,3
send,3
square,2
loving,2
any,2
peace,2
two,2
are,2
initial,2
make,2
care,2
chance,2
it,2
give,2
you,2
squares,2
saying,2
back,2
black,2
want,2
fast,1
run,1
goal,1
take,1
stronger,1
white,1
straight,1
course,1
got,1
that,1
life,1
hasn't,1
capture,1
just,1
corner,1
us,1
she,1
remember,1
anytime,1
of,1
wife,1
