Word,Frequency
I,17
and,14
it,13
my,10
did,7
way,7
the,7
more,5
I've,5
to,4
a,4
all,4
not,4
had,3
say,3
he,3
than,3
what,3
each,3
of,3
was,2
through,2
then,2
much,2
is,2
no,2
when,2
has,2
I'm,2
this,2
there,2
I'll,2
but,2
so,2
few,2
oh,2
yes,2
now,2
tall,1
sure,1
spit,1
certain,1
in,1
course,1
do,1
again,1
planned,1
subside,1
himself,1
who,1
chew,1
man,1
one,1
doubt,1
feels,1
state,1
bit,1
clear,1
faced,1
byway,1
amusing,1
which,1
lived,1
curtain,1
fill,1
highway,1
things,1
cried,1
think,1
charted,1
blows,1
too,1
without,1
out,1
shows,1
case,1
final,1
traveled,1
if,1
saw,1
that,1
careful,1
full,1
naught,1
stood,1
mention,1
times,1
life,1
got,1
words,1
could,1
as,1
exemption,1
every,1
losing,1
find,1
regrets,1
step,1
end,1
tears,1
face,1
record,1
share,1
knew,1
may,1
loved,1
you,1
along,1
were,1
friend,1
for,1
kneels,1
truly,1
up,1
near,1
me,1
laughed,1
ate,1
shy,1
took,1
that's,1
off,1
