Word,Frequency
no,18
and,10
surprises,9
alarms,9
a,7
of,4
here,3
out,3
me,3
let,3
my,2
they,2
that,2
pretty,2
you,2
don't,2
please,2
silent,2
such,2
final,2
with,1
bring,1
house,1
full,1
speak,1
fit,1
kills,1
so,1
us,1
for,1
take,1
look,1
landfill,1
job,1
bruises,1
up,1
I'll,1
life,1
garden,1
unhappy,1
like,1
heal,1
slowly,1
bellyache,1
tired,1
is,1
that's,1
carbon,1
heart,1
government,1
the,1
this,1
quiet,1
down,1
monoxide,1
won't,1
handshake,1
