Word,Frequency
I,22
and,16
the,15
of,13
in,13
been,9
a,9
me,7
I've,6
belong,6
I'm,4
but,4
am,4
think,4
don't,4
bird,4
blackwinged,4
try,3
rain,3
service,3
queen,3
to,3
between,3
more,3
anywhere,3
mama,3
home,3
she's,3
before,3
little,3
king,3
deserve,3
sinking,2
god,2
bleed,2
all,2
down,2
into,2
here,2
at,2
alive,2
dying,2
heaven,2
belly,2
anyone,2
deliver,2
it,2
when,2
why,2
is,1
heather,1
sea,1
can't,1
feed,1
my,1
not,1
so,1
only,1
said,1
darling,1
burning,1
pens,1
there,1
if,1
for,1
scared,1
alone,1
dreaming,1
up,1
other,1
thinking,1
after,1
seems,1
come,1
might,1
you,1
crying,1
ends,1
night,1
invite,1
outside,1
as,1
hey,1
render,1
instruments,1
lying,1
field,1
drinking,1
feathers,1
go,1
flying,1
henderson,1
oh,1
body,1
sun,1
your,1
heart,1
flame,1
again,1
waiting,1
want,1
sex,1
faith,1
there's,1
lay,1
make,1
endlessly,1
same,1
begins,1
place,1
