Word,Frequency
me,21
on,20
take,20
I'll,8
be,8
to,6
away,5
day,5
say,5
in,4
gone,4
a,4
or,3
is,3
you,3
shying,2
you're,2
for,2
things,2
life,2
ok,2
it,2
that,2
coming,2
two,2
anyway,2
stumbling,1
the,1
sorry,1
I'm,1
got,1
than,1
yeah,1
all,1
it's,1
but,1
learning,1
slowly,1
so,1
know,1
needless,1
find,1
ends,1
safe,1
don't,1
I,1
of,1
love,1
just,1
and,1
better,1
remember,1
play,1
today,1
no,1
another,1
after,1
your,1
what,1
my,1
worries,1
odds,1
I've,1
talking,1
oh,1
